(1,21)
(2,21)
(3,21)
(4,21)
(5,21)
(6,21)
(7,21)
(8,21)
(9,21)
(10,21)
(11,21)
(12,21)
(13,21)
(14,21)
(15,21)
(16,21)
(17,21)
(18,21)
(19,21)
(20,21)
(21,21)
(22,21)
(23,21)
(24,21)
(25,21)
(26,21)
(27,21)
(28,21)
(29,21)
(30,21)
(31,21)
(32,21)
(33,21)
(34,21)
(35,21)
(36,21)
(37,21)
(38,21)
(39,21)
(40,21)
(41,21)
(42,21)
(43,21)
(44,21)
(45,21)
(46,21)
(47,21)
(48,21)
(49,21)
(50,21)
(51,21)
(52,21)
(53,21)
(54,21)
(55,21)
(56,21)
(57,21)
(58,21)
(59,21)
(60,21)
(61,21)
(62,21)
(63,21)
(64,21)
(1,12)
(2,12)
(3,12)
(4,12)
(5,12)
(6,12)
(7,12)
(8,12)
(9,12)
(10,12)
(11,12)
(12,12)
(13,12)
(14,12)
(15,12)
(16,12)
(17,12)
(18,12)
(19,12)
(20,12)
(21,12)
(22,12)
(23,12)
(24,12)
(25,12)
(26,12)
(27,12)
(28,12)
(29,12)
(30,12)
(31,12)
(32,12)
(33,12)
(34,12)
(35,12)
